canonical_name	abbreviation	format	standard_status_hint	source_section	description
$INUMBER		$INUMBER( fnumber , format , erropt ) $IN( fnumber , format , erropt )	ansi	site/RCOS_finumber.html#RCOS_finumber	The $INUMBER function validates the numeric value fnumber using the formats specified in format . It then converts it to the internal InterSystems IRIS format.
$ISOBJECT		$ISOBJECT( expr )	ansi	site/RCOS_fisobject.html#RCOS_fisobject	$ISOBJECT returns 1 if expr is an object reference (OREF). $ISOBJECT returns 0 if expr is not an object reference (OREF).
$ISVALIDDOUBLE		$ISVALIDDOUBLE( num , scale , min , max )	ansi	site/RCOS_fisvaliddouble.html#RCOS_fisvaliddouble	The $ISVALIDDOUBLE function determines whether num passes validation tests for an IEEE double-precision floating point number and returns a boolean value. It optionally performs a range check using min and max values, which are automatically converted to IEEE numbers. The scale argument is used during range checking to specify how many fractional digits to compare. A boolean value of 1 means that num is a properly formed IEEE double-precision number value and passes the range check, if one is specified. $ISVALIDDOUBLE is a validation function; it does not determine if num is a number of data type DOUBLE, or if it has been generated using the $DOUBLE function.
$ISVALIDNUM		$ISVALIDNUM( num , scale , min , max )	ansi	site/RCOS_fisvalidnum.html#RCOS_fisvalidnum	The $ISVALIDNUM function validates num and returns a boolean value. It optionally performs a range check using min and max values. The scale argument is used during range checking to specify how many fractional digits to compare. A boolean value of 1 means that num is a properly formed number and passes the range check, if one is specified.
$ISVECTOR		$ISVECTOR( expr )	ansi	site/RCOS_fisvector.html#RCOS_fisvector	"The $ISVECTOR function determines if the input argument is a vector. If the input argument is a vector, the function returns 1 (true). The vector can be of any valid vector type, any length, and elements need not be contiguous. Valid vector types are decimal, double, integer, string, and timestamp. Additionally, $ISVECTOR("""") returns 1 ."
$JUSTIFY		$JUSTIFY( expression , width , decimal ) $J( expression , width , decimal )	ansi	site/RCOS_fjustify.html#RCOS_fjustify	$JUSTIFY returns the value specified by expression right-aligned within the specified width . You can include the decimal argument to decimal-align numbers within width .
$LENGTH		$LENGTH( expression , delimiter ) $L( expression , delimiter )	ansi	site/RCOS_flength.html#RCOS_flength	$LENGTH returns the number of characters in a specified string or the number of delimited substrings in a specified string, depending on the arguments used. Note that length counts the number of characters ; an 8-bit character and a 16-bit wide (Unicode) character are both counted as one character. For further details, refer to Unicode .
$LIST		$LIST( list , position , end ) $LI( list , position , end ) $LIST( list , start1 : end1 , start2 : end2 ...) $LI( list , start1 : end1 , start2 : end2 ...) SET $LIST( list , position , end )= value SET $LI( list , position , end )= value	ansi	site/RCOS_flist.html#RCOS_flist	$LIST can be used as follows:
$LISTBUILD		$LISTBUILD( element ,...) $LB( element ,...) SET $LISTBUILD( var1 , var2 ,...)= list SET $LB( var1 , var2 ,...)= list	ansi	site/RCOS_flistbuild.html#RCOS_flistbuild	$LISTBUILD has two syntax forms: $LISTBUILD and SET $LISTBUILD :
$LISTDATA		$LISTDATA( list , position , var ) $LD( list , position , var )	ansi	site/RCOS_flistdata.html#RCOS_flistdata	$LISTDATA checks for data in the requested element in a list and returns a boolean value. $LISTDATA returns a value of 1 if the element indicated by the position argument is in the list and has a data value. $LISTDATA returns a value of a 0 if the element is not in the list or does not have a data value.
$LISTFIND		$LISTFIND( list , value , startafter ) $LF( list , value , startafter )	ansi	site/RCOS_flistfind.html#RCOS_flistfind	$LISTFIND searches the specified list for the first instance of the requested value . A match must be exact and consist of the full element value. Letter comparisons are case-sensitive. Numbers are compared in canonical form. If an exact match is found, $LISTFIND returns the position of the matching element. If value is not found, $LISTFIND returns a 0.
$LISTFROMSTRING		$LISTFROMSTRING( string , delimiter , flag ) $LFS( string , delimiter , flag )	ansi	site/RCOS_flistfromstring.html#RCOS_flistfromstring	$LISTFROMSTRING takes a quoted string containing delimited elements and returns a list. A list represents data in an encoded format which does not use delimiter characters. Thus a list can contain all possible characters, and is ideally suited for bitstring data. Lists are handled using the ObjectScript $LIST functions.
