in_anno	in_ydb	ydb_section	standard_status	mnemonic	summary	kind
false	true	MessageRecovery/errors.rst#COMMITWAITSTUCK	ydb-extension	COMMITWAITSTUCK	Pid wwww waited tttt minute(s) for nnnn concurrent YottaDB process(es) to finish commits in database file dddd	Run Time Error
false	true	MessageRecovery/errors.rst#COMPILEQUALS	ydb-extension	COMPILEQUALS	Error in compiler qualifiers: xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CONNSOCKREQ	ydb-extension	CONNSOCKREQ	Socket not connected	Run Time Error
false	true	MessageRecovery/errors.rst#COREINPROGRESS	ydb-extension	COREINPROGRESS	Previous core attempt failed; core generation bypassed	Run Time Error
false	true	MessageRecovery/errors.rst#CORRUPT	ydb-extension	CORRUPT	Corrupt input in Blk # xxxx, Key #yyyy; resuming with next global block	Warning
false	true	MessageRecovery/errors.rst#CORRUPTNODE	ydb-extension	CORRUPTNODE	Corrupt input in Record #rrrr, Key #yyyy; resuming with next global node	Error
false	true	MessageRecovery/errors.rst#CPBEYALLOC	ydb-extension	CPBEYALLOC	Attempt to copy beyond the allocated buffer	Error
false	true	MessageRecovery/errors.rst#CREDNOTPASSED	ydb-extension	CREDNOTPASSED	Socket message contained no passed credentials	Run Time Error
false	true	MessageRecovery/errors.rst#CRITRESET	ydb-extension	CRITRESET	The critical section crash count for region xxxx has been incremented	Fatal
false	true	MessageRecovery/errors.rst#CRITSEMFAIL	ydb-extension	CRITSEMFAIL	Error with semaphores for region xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTBADCONFIG	ydb-extension	CRYPTBADCONFIG	Could not retrieve data from encrypted file ffff due to bad encryption configuration. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTBADWRTPOS	ydb-extension	CRYPTBADWRTPOS	Encrypted WRITE disallowed from a position different than where the last WRITE completed	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTDLNOOPEN	ydb-extension	CRYPTDLNOOPEN	Could not load encryption library while opening encrypted file ffff. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTDLNOOPEN2	ydb-extension	CRYPTDLNOOPEN2	Could not load encryption library dddd. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTHASHGENFAILED	ydb-extension	CRYPTHASHGENFAILED	Could not generate cryptographic hash for symmetric key corresponding to file ffff. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTINIT	ydb-extension	CRYPTINIT	Could not initialize encryption library while opening encrypted file ffff. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTINIT2	ydb-extension	CRYPTINIT2	Failed to initialize encryption library during YottaDB startup. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTJNLMISMATCH	ydb-extension	CRYPTJNLMISMATCH	Encryption settings mismatch between journal file jjjj and corresponding database file dddd	Error
false	true	MessageRecovery/errors.rst#CRYPTKEYFETCHFAILED	ydb-extension	CRYPTKEYFETCHFAILED	Could not retrieve encryption key corresponding to file ffff. eeee	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTKEYFETCHFAILEDNF	ydb-extension	CRYPTKEYFETCHFAILEDNF	Could not retrieve encryption key during xxxx operation key. yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTKEYRELEASEFAILED	ydb-extension	CRYPTKEYRELEASEFAILED	Could not safely release encryption key corresponding to file ffff. eeee	Error
false	true	MessageRecovery/errors.rst#CRYPTKEYTOOBIG	ydb-extension	CRYPTKEYTOOBIG	Specified key has length xxxx, which is greater than the maximum allowed key length yyyy	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTNOAPPEND	ydb-extension	CRYPTNOAPPEND	APPEND disallowed on the encrypted file xxxx	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTNOKEY	ydb-extension	CRYPTNOKEY	No encryption key specified	Error
false	true	MessageRecovery/errors.rst#CRYPTNOKEYSPEC	ydb-extension	CRYPTNOKEYSPEC	Key name needs to be specified with KEY, IKEY, or OKEY device parameter for encrypted I/O	Run Time Error
false	true	MessageRecovery/errors.rst#CRYPTNOMM	ydb-extension	CRYPTNOMM	ffff is an encrypted database. Cannot support MM access method.	Error
